drug_1	drug_2
DB00393	DB00674
DB05294	DB00877
DB00530	DB01254
DB00412	DB00641
DB00673	DB01234
DB01225	DB01017
DB00480	DB00441
DB06292	DB00641
DB00480	DB00091
DB06292	DB00222
DB00973	DB01039
DB01098	DB00201
DB00313	DB00495
DB06213	DB00640
DB06589	DB00218
DB00945	DB01132
DB01229	DB06589
DB00988	DB00741
DB00615	DB00921
DB01006	DB06616
DB01234	DB00996
DB01166	DB00945
DB00734	DB00215
DB06809	DB00188
DB00682	DB06292
DB00818	DB00813
DB00683	DB00813
DB00334	DB00246
DB00471	DB00394
DB00706	DB01036
DB01156	DB01175
DB00198	DB00558
DB05294	DB00188
DB01236	DB00818
DB00966	DB00999
DB01076	DB01132
DB00887	DB06292
DB01229	DB00480
DB01041	DB00860
DB00242	DB00213
DB00530	DB00762
DB00683	DB01221
DB01118	DB00264
DB00673	DB00904
DB01394	DB01076
DB00945	DB00852
DB08865	DB00530
DB01268	DB00480
DB00530	DB01611
DB01394	DB00277
DB01394	DB00091
DB00264	DB04861
DB00497	DB00673
DB00441	DB06772
DB01229	DB00619
DB00683	DB00633
DB00482	DB01628
DB00218	DB01075
DB00470	DB04948
DB01611	DB02546
DB00712	DB00316
DB01128	DB00481
DB01238	DB00334
DB01268	DB06589
DB00669	DB00788
DB00860	DB00571
DB00877	DB02546
DB01259	DB00877
DB01024	DB00860
DB00421	DB00999
DB00497	DB01183
DB01238	DB01175
DB00575	DB00996
DB00813	DB00598
DB00476	DB00193
DB01259	DB02546
DB01001	DB00986
DB01041	DB00480
DB00441	DB01611
DB00758	DB00213
DB00295	DB00921
DB01216	DB00820
DB00734	DB01221
DB08916	DB00641
DB06809	DB00631
DB00875	DB00502
DB00783	DB00788
DB00478	DB00198
DB00673	DB00889
DB00480	DB00398
DB00877	DB00563
DB00514	DB00313
DB08828	DB00412
DB00747	DB00843
DB06268	DB00203
DB06268	DB00820
DB00682	DB00227
DB08916	DB01248
DB00441	DB08916
DB01151	DB00181
DB00877	DB01611
DB00412	DB08896
DB04868	DB00619
DB00983	DB00938
DB00367	DB00784
DB00295	DB00316
DB00234	DB00215
DB01001	DB01656
DB00860	DB06772
DB00977	DB00367
DB06589	DB02546
DB00653	DB00281
DB06218	DB01202
DB00203	DB00820
DB00841	DB00381
DB01242	DB01175
DB00184	DB01273
DB00773	DB06809
DB00388	DB00455
DB01118	DB01017
DB00091	DB01254
DB00945	DB01017
DB00203	DB00624
DB01229	DB00445
DB00215	DB08868
DB00472	DB08868
DB00285	DB08868
DB01076	DB01234
DB00370	DB00715
DB00624	DB00630
DB04573	DB00717
DB00642	DB00317
DB01098	DB00758
DB00986	DB01400
DB00633	DB00425
DB00297	DB00708
DB00243	DB00222
DB01076	DB00222
DB00633	DB00640
DB01204	DB00242
DB00465	DB01050
DB00398	DB00762
DB00243	DB04855
DB00986	DB05039
DB01216	DB00706
DB08828	DB00877
DB05294	DB00683
DB00394	DB00571
DB08865	DB06589
DB00343	DB00381
DB00497	DB00704
DB00333	DB00921
DB00184	DB01156
DB01118	DB00489
DB00563	DB00307
DB00297	DB00668
DB00208	DB00945
DB00470	DB01183
DB00465	DB01233
DB00470	DB00316
DB00334	DB06288
DB08881	DB01097
DB00783	DB00367
DB00747	DB01221
DB02638	DB00368
DB08865	DB01254
DB00633	DB01221
DB05271	DB01235
DB00706	DB01126
DB06292	DB06335
DB00334	DB00472
DB01236	DB00633
DB04868	DB08877
DB00294	DB00783
DB00683	DB00454
DB00480	DB00908
DB00559	DB01088
DB08828	DB00441
DB08907	DB00091
DB00292	DB00813
DB01406	DB08877
DB08907	DB01016
DB00995	DB00877
DB00624	DB00490
DB01268	DB00683
DB00633	DB00813
DB00704	DB00813
DB00370	DB01175
DB00441	DB00608
DB01233	DB00818
DB00813	DB00281
DB01024	DB00213
DB00441	DB00724
DB00899	DB01236
DB01221	DB01017
DB08916	DB00836
DB00295	DB00813
DB08907	DB00641
DB00441	DB08877
DB01069	DB00186
DB01115	DB00966
DB00490	DB00454
DB01611	DB00811
DB00398	DB00997
DB00966	DB01076
DB00631	DB01204
DB08881	DB00697
DB00575	DB01183
DB00441	DB01234
DB01166	DB00641
DB01166	DB01098
DB01043	DB01175
DB08907	DB06292
DB04868	DB00570
DB00273	DB00186
DB00295	DB01221
DB00683	DB00818
DB00264	DB00722
DB00695	DB00988
DB00441	DB00820
DB00586	DB00683
DB00295	DB00708
DB00294	DB00834
DB01050	DB00201
DB00396	DB00308
DB01259	DB06772
DB00899	DB01189
DB00568	DB00829
DB00612	DB00335
DB00860	DB06802
DB01238	DB01156
DB00820	DB01126
DB00899	DB01221
DB00186	DB00502
DB00333	DB01174
DB00668	DB00281
DB01225	DB00945
DB00198	DB01234
DB01221	DB00281
DB00704	DB00921
DB00181	DB01043
DB00683	DB00292
DB06144	DB00734
DB00682	DB00945
DB06725	DB00316
DB00899	DB00813
DB01229	DB08877
DB00899	DB00611
DB00295	DB00297
DB01248	DB06772
DB00602	DB00898
DB01364	DB00201
DB00633	DB00297
DB08881	DB00459
DB08932	DB00218
DB01225	DB00682
DB00530	DB00277
DB01076	DB00945
DB00706	DB00316
DB08896	DB00762
DB00539	DB00675
DB00673	DB00334
DB00502	DB01075
DB01098	DB08896
DB00198	DB00482
DB01236	DB00753
DB08916	DB01006
DB00328	DB00668
DB00668	DB00368
DB00734	DB00656
DB08877	DB08896
DB00295	DB00683
DB01001	DB00201
DB00548	DB00484
DB00530	DB08877
DB00898	DB00281
DB00497	DB00316
DB01268	DB08896
DB00393	DB00819
DB00818	DB00292
DB00966	DB00575
DB00316	DB08882
DB00706	DB01591
DB08882	DB01132
DB00316	DB00945
DB00966	DB00641
DB00945	DB00814
DB00457	DB01273
DB00921	DB01234
DB01001	DB00332
DB00818	DB00652
DB00297	DB01452
DB00484	DB00373
DB00514	DB00281
DB00820	DB01037
DB00945	DB00788
DB00682	DB01088
DB08907	DB00191
DB00899	DB01050
DB00706	DB00820
DB00563	DB01248
DB00316	DB01234
DB00333	DB01221
DB00482	DB01016
DB01036	DB00321
DB00966	DB00758
DB00921	DB00285
DB00706	DB00715
DB00921	DB00316
DB01236	DB01221
DB00490	DB00715
DB00945	DB00975
DB01229	DB08916
DB00563	DB01097
DB00388	DB01364
DB06335	DB00222
DB05013	DB00724
DB00441	DB00619
DB00204	DB00281
DB00204	DB00379
DB00343	DB00218
DB00014	DB01006
DB00465	DB00316
DB00683	DB00281
DB00284	DB06335
DB01611	DB00563
DB00457	DB00704
DB01327	DB00281
DB00277	DB01656
DB00313	DB00502
DB01195	DB00489
DB00482	DB00996
DB00905	DB00373
DB00327	DB00316
DB00572	DB01400
DB08896	DB00619
DB01394	DB00563
DB00773	DB00997
DB00293	DB00762
DB01075	DB00433
DB00465	DB00297
DB01006	DB00929
DB01229	DB08896
DB01024	DB00563
DB01024	DB00091
DB00586	DB00316
DB00316	DB00784
DB01212	DB01165
DB00297	DB01364
DB00316	DB00878
DB01115	DB00328
DB00571	DB01039
DB00497	DB00633
DB00297	DB01221
DB00327	DB01050
DB01221	DB00527
DB06292	DB04876
DB00421	DB00350
DB00188	DB00175
DB00264	DB00193
DB00682	DB00571
DB01166	DB00669
DB00829	DB00454
DB01236	DB00708
DB01236	DB00292
DB00586	DB06802
DB00818	DB00281
DB01236	DB00297
DB00586	DB00697
DB00602	DB00518
DB00205	DB00608
DB01115	DB00264
DB00297	DB00653
DB00633	DB01364
DB00575	DB00281
DB00497	DB01221
DB01003	DB01050
DB00843	DB01591
DB00633	DB00708
DB01166	DB00758
DB08932	DB00820
DB01115	DB00590
DB00899	DB00295
DB00695	DB01098
DB00997	DB00380
DB00530	DB00317
DB08828	DB08877
DB00203	DB00235
DB00327	DB00297
DB01067	DB08882
DB08877	DB00188
DB00602	DB00484
DB00860	DB01137
DB00530	DB08916
DB00318	DB00316
DB00899	DB00683
DB00482	DB00795
DB00829	DB00788
DB00813	DB01050
DB00465	DB00813
DB00294	DB01050
DB00388	DB01064
DB04948	DB00715
DB00813	DB00454
DB00945	DB00213
DB00999	DB01018
DB00388	DB00668
DB00860	DB01097
DB00482	DB00316
DB00482	DB01017
DB00297	DB00193
DB00999	DB04861
DB00734	DB00334
DB00697	DB00297
DB00482	DB01234
DB00497	DB00297
DB00398	DB00945
DB00586	DB00297
DB00290	DB00683
DB00818	DB00708
DB00945	DB01137
DB00281	DB00788
DB00264	DB00661
DB00773	DB00537
DB00198	DB00682
DB04896	DB01221
DB01229	DB00834
DB00381	DB01098
DB00829	DB00281
DB00388	DB00297
DB00877	DB04876
DB00899	DB00281
DB01586	DB01039
DB01161	DB00813
DB00186	DB01050
DB00465	DB00996
DB00999	DB00594
DB00295	DB00327
DB00328	DB01050
DB00465	DB00281
DB00747	DB00316
DB00773	DB01234
DB00899	DB00633
DB01085	DB01050
DB01393	DB01586
DB08907	DB00222
DB01233	DB00904
DB00482	DB00398
DB01050	DB00852
DB00966	DB01098
DB00695	DB01223
DB01115	DB01234
DB00313	DB00996
DB00712	DB01209
DB00502	DB00477
DB00851	DB00997
DB00642	DB06616
DB01064	DB00640
DB00398	DB01611
DB00421	DB01394
DB00813	DB01221
DB01212	DB00104
DB00813	DB00316
DB00181	DB01050
DB00697	DB01050
DB01041	DB08877
DB01098	DB06292
DB01229	DB00293
DB01212	DB01137
DB01016	DB06292
DB00333	DB00951
DB00818	DB01189
DB00871	DB00297
DB00571	DB00997
DB00747	DB01175
DB00388	DB00809
DB00904	DB00708
DB00829	DB00683
DB00633	DB00988
DB00683	DB00297
DB00877	DB00860
DB01254	DB00619
DB00586	DB00281
DB00586	DB00653
DB00497	DB00813
DB00343	DB00198
DB00388	DB00368
DB00316	DB00554
DB00945	DB01050
DB00313	DB00186
DB00297	DB00368
DB00921	DB00904
DB00612	DB00264
DB01156	DB00215
DB00841	DB00368
DB00181	DB00829
DB00860	DB01234
DB08907	DB01032
DB08907	DB00661
DB00695	DB01032
DB01268	DB00571
DB00321	DB00193
DB00297	DB00640
DB00316	DB00788
DB08932	DB01098
DB00476	DB00571
DB00264	DB01136
DB01233	DB00193
DB00683	DB00571
DB00297	DB00844
DB00297	DB00316
DB00465	DB00818
DB00783	DB00929
DB00683	DB00889
DB00316	DB00281
DB00316	DB00996
DB01200	DB00316
DB00860	DB00945
DB00694	DB01248
DB00313	DB00205
DB00497	DB01050
DB00818	DB00653
DB00482	DB00945
DB00904	DB00434
DB00818	DB00422
DB00367	DB00554
DB00421	DB00381
DB00381	DB00808
DB00653	DB01234
DB00398	DB08896
DB00328	DB00316
DB01392	DB00741
DB00203	DB00264
DB01098	DB00571
DB01098	DB01136
DB01205	DB01183
DB00575	DB00297
DB00268	DB00996
DB00482	DB00218
DB00806	DB01076
DB00540	DB00281
DB01018	DB00281
DB00316	DB01213
DB00813	DB00753
DB00313	DB00320
DB01394	DB00806
DB00695	DB00999
DB00277	DB00561
DB00683	DB00708
DB01062	DB00289
DB00860	DB01165
DB00741	DB00860
DB01142	DB00724
DB00899	DB00497
DB00704	DB00717
DB00497	DB00193
DB01166	DB01175
DB00619	DB08901
DB00457	DB00434
DB01200	DB06288
DB00489	DB00204
DB00295	DB00413
DB00945	DB08901
DB00316	DB01075
DB00203	DB06335
DB00563	DB00641
DB00514	DB00715
DB02546	DB00675
DB00722	DB01136
DB00211	DB00571
DB00218	DB00836
DB00421	DB00783
DB01236	DB00281
DB00922	DB00653
DB00198	DB01611
DB00695	DB00598
DB00687	DB01200
DB00465	DB01234
DB00704	DB01221
DB01156	DB00909
DB01175	DB04876
DB01611	DB00608
DB00297	DB00454
DB00966	DB01197
DB00656	DB00425
DB01406	DB00871
DB01197	DB04876
DB00951	DB00929
DB01234	DB00641
DB00465	DB00633
DB00571	DB00929
DB00252	DB01202
DB01248	DB01037
DB00497	DB00734
DB00497	DB00246
DB00091	DB00741
DB00586	DB01050
DB00640	DB00975
DB00692	DB01085
DB00624	DB00308
DB00367	DB00834
DB00788	DB00193
DB00476	DB01175
DB00630	DB00571
DB01236	DB01189
DB00602	DB01611
DB00471	DB01611
DB01221	DB01234
DB00921	DB00193
DB00335	DB00598
DB01394	DB00704
DB00624	DB00050
DB00706	DB00586
DB00514	DB00472
DB00683	DB01202
DB01394	DB00945
DB00295	DB00404
DB00548	DB01017
DB00295	DB00281
DB00315	DB00907
DB00497	DB00465
DB08881	DB00398
DB00388	DB00316
DB01611	DB00244
DB00234	DB00422
DB01030	DB00762
DB01221	DB00996
DB01011	DB00741
DB00203	DB00193
DB01229	DB04868
DB01229	DB00806
DB00457	DB00571
DB00316	DB00201
DB00482	DB00537
DB01075	DB00450
DB00235	DB00841
DB00541	DB00860
DB00775	DB00945
DB00683	DB00653
DB01076	DB00929
DB01115	DB00653
DB01212	DB00571
DB06292	DB01132
DB00293	DB08896
DB00749	DB00818
DB00999	DB06292
DB01006	DB00641
DB00470	DB00201
DB00820	DB01591
DB00316	DB00454
DB01221	DB00708
DB00381	DB04861
DB00281	DB00193
DB00627	DB00227
DB00627	DB00641
DB00295	DB01183
DB00381	DB01076
DB01069	DB00514
DB01069	DB00318
DB01288	DB00332
DB00543	DB00860
DB00540	DB00860
DB00373	DB00869
DB00318	DB01114
DB00905	DB00484
DB00860	DB00975
DB00977	DB00304
DB00977	DB00294
DB00999	DB01197
DB00999	DB01029
DB01115	DB00335
DB00381	DB01029
DB00222	DB01132
DB00455	DB00852
DB00722	DB00999
DB00175	DB01039
DB00612	DB00999
DB00783	DB00717
DB00455	DB00471
DB00999	DB00571
DB00972	DB00588
DB00983	DB00986
DB00983	DB00394
DB00921	DB01183
DB01021	DB01029
DB01252	DB04878
DB01234	DB00537
DB00953	DB00814
DB00514	DB00908
DB06711	DB01620
DB00295	DB00497
DB00692	DB00871
DB00921	DB00814
DB00295	DB00704
DB00182	DB01018
DB01050	DB00956
DB00514	DB01156
DB00297	DB00814
DB00413	DB01367
DB00749	DB00571
DB00482	DB00381
DB01085	DB01062
DB00181	DB00659
DB00977	DB00717
DB00586	DB00929
DB00981	DB00747
DB01221	DB00321
DB00332	DB06694
DB00465	DB00388
DB00861	DB01393
DB00543	DB00975
DB01065	DB00490
DB00945	DB00175
DB00455	DB00540
DB00983	DB00588
DB00897	DB00708
DB01085	DB01036
DB01076	DB01029
DB00704	DB00575
DB00704	DB00193
DB00284	DB01083
DB00328	DB00367
DB00482	DB00193
DB00695	DB00594
DB00612	DB00381
DB01156	DB00656
DB00904	DB00545
DB01216	DB00350
DB00563	DB00317
DB01054	DB00264
DB00966	DB01023
DB00264	DB01023
DB00514	DB00852
DB00471	DB00768
DB00381	DB00255
DB00749	DB00806
DB00586	DB00806
DB01184	DB00213
DB00627	DB00758
DB06594	DB00334
DB00563	DB01234
DB00514	DB01114
DB00966	DB00222
DB00721	DB00050
DB00381	DB00627
DB00264	DB00381
DB00627	DB01076
DB00255	DB00945
DB00213	DB00641
DB00270	DB00598
DB01224	DB08815
DB01169	DB00317
DB01076	DB00758
DB04573	DB00218
DB01001	DB00328
DB01083	DB00491
DB00126	DB01165
DB00264	DB00945
DB00741	DB01017
DB00612	DB00945
DB00284	DB01076
DB00334	DB01175
DB01076	DB04878
DB00158	DB01037
DB00381	DB00335
DB01229	DB00563
DB01054	DB00335
DB00126	DB00818
DB00799	DB00724
DB01064	DB01254
DB01065	DB01050
DB00819	DB00909
DB01065	DB00213
DB00829	DB01174
DB01065	DB00904
DB01065	DB00889
DB01120	DB00641
DB01115	DB00203
DB00158	DB00973
DB01197	DB00945
DB01212	DB00281
DB00999	DB01076
DB01043	DB00571
DB00843	DB00571
DB00130	DB04876
DB00712	DB00818
DB00938	DB01656
DB05039	DB01656
DB00749	DB00193
DB00530	DB00594
DB01103	DB00619
DB00184	DB01235
DB00966	DB01137
DB00612	DB00808
DB00158	DB00808
DB00126	DB00822
DB01229	DB00755
DB01268	DB00988
DB00586	DB01394
DB08907	DB06203
DB00541	DB00608
DB00091	DB01234
DB00608	DB00762
DB01001	DB00920
DB00622	DB01083
DB00697	DB00370
DB00412	DB01132
DB00912	DB01259
DB00471	DB00091
DB01083	DB01296
DB00695	DB00421
DB04878	DB00222
DB01067	DB04878
DB01394	DB01234
DB00915	DB00316
DB00852	DB01412
DB00818	DB00829
DB00327	DB01183
DB00523	DB01132
DB00391	DB01234
DB08828	DB00608
DB04953	DB00996
DB01032	DB00945
DB00722	DB01119
DB00398	DB01073
DB01114	DB00316
DB00563	DB00997
DB00277	DB01364
DB01599	DB00227
DB00514	DB00996
DB00328	DB01296
DB00878	DB00281
DB00695	DB01234
DB00860	DB00701
DB00398	DB00755
DB01115	DB01029
DB01050	DB00518
DB00716	DB00608
DB01098	DB01029
DB00179	DB01234
DB00184	DB00201
DB00158	DB00715
DB06684	DB00641
DB00126	DB00945
DB00920	DB00277
DB00877	DB00399
DB00364	DB00741
DB01229	DB00661
DB01212	DB00788
DB00568	DB00422
DB01083	DB04878
DB00126	DB01023
DB01115	DB01197
DB00701	DB00762
DB01229	DB00482
DB01611	DB01097
DB08881	DB00571
DB00456	DB00537
DB00936	DB00945
DB00860	DB00537
DB01209	DB00921
DB01174	DB00201
DB00091	DB00317
DB00514	DB00381
DB00412	DB00997
DB00121	DB00188
DB00480	DB00399
DB00317	DB00227
DB01259	DB00619
DB01229	DB00822
DB00723	DB00572
DB00201	DB01132
DB00126	DB00130
DB01238	DB01166
DB01204	DB00997
DB00126	DB00811
DB01229	DB00751
DB00641	DB00997
DB01098	DB00091
DB00995	DB00398
DB00158	DB01234
DB00158	DB00997
DB00997	DB00762
DB00843	DB01202
DB01229	DB00134
DB01234	DB00227
DB00316	DB00244
DB02546	DB00317
DB01137	DB01234
DB00945	DB01235
DB01268	DB00997
DB00631	DB00563
DB00995	DB00482
DB00280	DB00997
DB01234	DB01017
DB00126	DB01169
DB00445	DB00441
DB00530	DB00608
DB00411	DB00166
DB08865	DB01030
DB00158	DB00364
DB00482	DB00997
DB00986	DB00394
DB00176	DB00762
DB00818	DB00747
DB01248	DB00608
DB00998	DB00945
DB00755	DB00641
DB00945	DB01254
DB00413	DB00673
DB01098	DB00627
DB00921	DB00813
DB02546	DB00619
DB01229	DB01254
DB00843	DB01076
DB06594	DB00313
DB01079	DB04876
DB00114	DB00627
DB06594	DB00234
DB08954	DB00434
DB00277	DB01234
DB00182	DB00370
DB00332	DB00281
DB00904	DB00472
DB00193	DB00996
DB06155	DB04876
DB00313	DB00482
DB02546	DB01254
DB00297	DB01050
DB00877	DB00936
DB00788	DB00996
DB00465	DB00193
DB01075	DB01050
DB01050	DB00193
DB00920	DB06711
DB00346	DB06751
DB00605	DB00193
DB00627	DB00945
DB00482	DB00285
DB00963	DB00465
DB01120	DB04876
DB04868	DB01006
DB00594	DB00384
DB00966	DB00335
DB00333	DB00997
DB00712	DB00281
DB00143	DB00316
DB00465	DB00768
DB00514	DB00482
DB01114	DB01050
DB00953	DB00904
DB01212	DB01068
DB00179	DB00530
DB00935	DB00281
DB00482	DB00999
DB00811	DB00659
DB00126	DB00158
DB00712	DB00193
DB00398	DB00608
DB00834	DB00104
DB00586	DB00216
DB00497	DB01069
DB00257	DB00586
DB00396	DB00470
DB00413	DB00909
DB00877	DB01169
DB01029	DB00758
DB00399	DB00175
DB00346	DB01126
DB00749	DB00316
DB00364	DB01184
DB00318	DB01050
DB00731	DB08882
DB00471	DB00277
DB01212	DB01156
DB00747	DB00285
DB00316	DB01628
DB01067	DB01076
DB00704	DB00909
DB00749	DB01075
DB00328	DB01075
DB01071	DB01050
DB01050	DB01296
DB01235	DB00422
DB00482	DB01656
DB00210	DB00281
DB01169	DB00166
DB00877	DB01599
DB00734	DB06155
DB00548	DB00602
DB00972	DB01364
DB00936	DB01009
DB01075	DB00281
DB02546	DB00642
DB00624	DB00820
DB00783	DB00624
DB01166	DB00877
DB00273	DB00904
DB01166	DB00843
DB00623	DB01088
DB01071	DB00852
DB00162	DB00328
DB01118	DB00243
DB01229	DB00091
DB00586	DB01656
DB01283	DB01656
DB00398	DB00724
DB00811	DB01248
DB00586	DB00484
DB00642	DB08896
DB01268	DB00398
DB00963	DB00768
DB00316	DB00145
DB00313	DB00860
DB00843	DB00939
DB08881	DB08865
DB00514	DB01412
DB01275	DB00091
DB00399	DB00860
DB00381	DB00820
DB01085	DB01591
DB00126	DB00669
DB00484	DB00869
DB00527	DB00281
DB00980	DB01017
DB01234	DB01656
DB00834	DB00741
DB06288	DB00904
DB04878	DB08882
DB06772	DB01100
DB00878	DB00484
DB00929	DB00605
DB00514	DB01050
DB00887	DB05266
DB00413	DB00904
DB01165	DB01137
DB00877	DB01065
DB00471	DB00751
DB04841	DB00188
DB00482	DB01097
DB00612	DB01098
DB00966	DB00820
DB00321	DB00358
DB01182	DB01050
DB00126	DB01050
DB00820	DB00316
DB01166	DB00175
DB00115	DB00704
DB00586	DB00602
DB08881	DB01254
DB00126	DB00627
DB00795	DB01132
DB01242	DB00203
DB01069	DB00669
DB00966	DB08882
DB01183	DB00813
DB01364	DB00852
DB01394	DB01136
DB00633	DB00477
DB01050	DB00996
DB00697	DB00580
DB00575	DB01221
DB00370	DB00909
DB00861	DB08873
DB01235	DB01037
DB00408	DB01175
DB00980	DB01142
DB00773	DB00380
DB00413	DB00996
DB00413	DB00476
DB01115	DB00806
DB01166	DB00973
DB00543	DB01175
DB00999	DB00922
DB00455	DB01114
DB01075	DB00201
DB01296	DB00814
DB00588	DB00277
DB00495	DB01234
DB00548	DB00755
DB05105	DB00811
DB00627	DB00814
DB00877	DB00482
DB00973	DB00627
DB01041	DB01169
DB00783	DB01065
DB00661	DB04855
DB00482	DB00374
DB01132	DB00227
DB01259	DB01254
DB00661	DB01394
DB00295	DB00877
DB01229	DB00518
DB00514	DB00734
DB01115	DB01009
DB06292	DB08882
DB00455	DB00201
DB06802	DB01234
DB00670	DB00472
DB01098	DB00945
DB01166	DB01599
DB00935	DB00484
DB00795	DB00244
DB00915	DB00843
DB01128	DB01248
DB02546	DB00472
DB00126	DB00170
DB00490	DB04953
DB00704	DB05266
DB00712	DB00697
DB01156	DB00273
DB01394	DB01182
DB00315	DB00490
DB00704	DB00422
DB00145	DB01296
DB00704	DB00996
DB00877	DB00317
DB00191	DB01025
DB00182	DB00575
DB00203	DB00273
DB00704	DB00316
DB00398	DB01076
DB00641	DB00715
DB00316	DB06204
DB00244	DB00281
DB00860	DB00244
DB00218	DB00860
DB00248	DB00104
DB01205	DB00921
DB00316	DB00669
DB01062	DB00989
DB00316	DB00425
DB00877	DB00997
DB01235	DB00788
DB00270	DB01367
DB00203	DB00201
DB01043	DB06204
DB00334	DB00889
DB01069	DB00193
DB01069	DB00327
DB00091	DB01296
DB00877	DB08901
DB01268	DB00244
DB00633	DB00575
DB01097	DB00997
DB00934	DB00675
DB00626	DB00741
DB01275	DB00313
