drug_1	drug_2
DB01043	DB00153
DB00688	DB00864
DB00675	DB00990
DB00647	DB00945
DB01501	DB00572
DB01010	DB00572
DB00454	DB00572
DB00719	DB00852
DB00972	DB00588
DB00685	DB00207
DB00195	DB00310
DB01085	DB00195
DB00318	DB01237
DB00884	DB06724
DB01212	DB00281
DB00446	DB00741
DB00781	DB00446
DB00860	DB00446
DB00206	DB00880
DB01114	DB00397
DB00318	DB01114
DB00310	DB00575
DB00310	DB00264
DB00206	DB00310
DB00675	DB00014
DB01281	DB00563
DB00030	DB06335
DB00531	DB00642
DB01076	DB00945
DB01029	DB00381
DB08903	DB05154
DB06287	DB00034
DB00945	DB01109
DB00951	DB00330
DB00704	DB00295
DB00182	DB01576
DB00717	DB00783
DB00331	DB06335
DB01258	DB00381
DB06713	DB00977
DB00177	DB01258
DB00608	DB01087
DB00999	DB00691
DB00331	DB06203
DB00764	DB00983
DB08822	DB00310
DB00630	DB00169
DB01126	DB00706
DB00304	DB00977
DB00165	DB00366
DB00331	DB08882
DB00977	DB00506
DB00484	DB01194
DB00514	DB00908
DB00297	DB00281
DB00367	DB00977
DB01234	DB00281
DB00273	DB00191
DB01050	DB00927
DB06151	DB01064
DB00787	DB00741
DB00415	DB01032
DB00945	DB00241
DB00956	DB00945
DB00945	DB00652
DB00945	DB00175
DB01324	DB00457
DB00206	DB01324
DB00759	DB00721
DB00277	DB00721
DB01325	DB00206
DB00206	DB01021
DB01261	DB00641
DB01581	DB00359
DB04815	DB00646
DB01369	DB01764
DB00999	DB01089
DB00232	DB01089
DB00994	DB01234
DB00343	DB00584
DB01075	DB00788
DB01075	DB00852
DB00813	DB00450
DB00721	DB00668
DB00788	DB00736
DB00894	DB00783
DB00286	DB00603
DB00371	DB00286
DB00957	DB00977
DB01357	DB00823
DB00994	DB00591
DB00684	DB00324
DB00634	DB00324
DB00994	DB00846
DB00999	DB01170
DB00999	DB01275
DB00206	DB01275
DB00999	DB00598
DB00999	DB00960
DB00999	DB00206
DB00373	DB00999
DB00956	DB00397
DB00956	DB00852
DB00994	DB00741
DB03904	DB00741
DB00781	DB00741
DB00741	DB00759
DB00774	DB00206
DB00388	DB01050
DB00388	DB01064
DB00717	DB00007
DB00595	DB00281
DB01638	DB00742
DB00454	DB01069
DB00232	DB01626
DB00232	DB00206
DB00994	DB00959
DB00994	DB00860
DB00620	DB00994
DB01015	DB01438
DB01438	DB00263
DB00388	DB06691
