drug_1	drug_2
DB04960	DB00188
DB01128	DB00007
DB00254	DB01017
DB06779	DB00682
DB12701	DB00851
DB00472	DB00402
DB00959	DB00853
DB00441	DB00544
DB00530	DB02546
DB00572	DB00571
DB00441	DB00526
DB00851	DB00853
DB00916	DB00537
DB01259	DB00683
DB02546	DB00072
DB04879	DB01006
DB01268	DB00530
DB01229	DB01101
DB00515	DB00002
DB00441	DB06486
DB00316	DB01050
DB04879	DB01248
DB00054	DB01109
DB00441	DB13809
DB01262	DB02546
DB00095	DB01281
DB00973	DB01076
DB00530	DB01590
DB03496	DB02546
DB00544	DB01101
DB00841	DB00437
DB00381	DB00966
DB01043	DB00740
DB00722	DB00966
DB14865	DB01248
DB00072	DB11641
DB00361	DB01030
DB06448	DB01248
DB01268	DB01248
DB01224	DB00715
DB06751	DB01050
DB00399	DB00675
DB01217	DB00399
DB04572	DB01073
DB00458	DB00472
DB00002	DB01101
DB00072	DB00526
DB13877	DB00762
DB06206	DB00728
DB00073	DB05889
DB01104	DB01202
DB00641	DB01039
DB01076	DB01039
DB06641	DB01933
DB00313	DB00853
DB04879	DB01590
DB04915	DB01248
DB01032	DB00198
DB00531	DB00002
DB00635	DB00073
DB01042	DB00188
DB00688	DB00531
DB00073	DB00020
DB00014	DB00675
DB01217	DB00624
DB00514	DB00201
DB05294	DB01248
DB00313	DB00109
DB00904	DB01234
DB06629	DB01248
DB06287	DB00853
DB00653	DB11126
DB00631	DB00987
DB01590	DB00072
DB01030	DB00317
DB00343	DB00199
DB00305	DB06205
DB00877	DB00091
DB00642	DB11641
DB00530	DB11641
DB00687	DB00741
DB04845	DB00445
DB00254	DB00911
DB00207	DB00911
DB01590	DB00112
DB06186	DB00851
DB00398	DB00002
DB01248	DB05003
DB12984	DB01101
DB06203	DB01132
DB00441	DB00002
DB01177	DB02546
DB01307	DB00030
DB03496	DB01248
DB00188	DB01234
DB02546	DB00928
DB00441	DB00530
DB00482	DB00544
DB00722	DB00381
DB01229	DB00877
DB01873	DB00072
DB01048	DB00900
DB01151	DB00704
DB00704	DB00715
DB01104	DB00502
DB01030	DB00112
DB01234	DB00377
DB00412	DB00222
DB00932	DB01098
DB00762	DB00112
DB13919	DB01023
DB05015	DB00188
DB01229	DB00002
DB05015	DB00928
DB00480	DB00928
DB05491	DB00958
DB00570	DB00958
DB14865	DB01175
DB00877	DB00530
DB00295	DB00230
DB05015	DB05134
DB01217	DB00641
DB00531	DB00541
DB00007	DB00052
DB00917	DB00929
DB00503	DB01264
DB01229	DB05575
DB09274	DB00613
DB00736	DB00945
DB04879	DB01229
DB00313	DB05806
DB00515	DB12391
DB12484	DB12957
DB00039	DB01109
DB01039	DB00331
DB00853	DB00958
DB00334	DB00909
DB00258	DB00658
DB00581	DB01220
DB00095	DB00563
DB01229	DB02546
DB00530	DB04996
DB11771	DB01268
DB01229	DB01268
DB01080	DB00907
DB05786	DB00526
DB06641	DB01234
DB09256	DB03419
DB00441	DB06176
DB00207	DB00608
DB09274	DB00608
DB00016	DB00928
DB11940	DB01073
DB00313	DB00928
DB04915	DB00958
DB01177	DB00188
DB04845	DB00002
DB00082	DB06791
DB00999	DB13919
DB00945	DB00641
DB15311	DB00544
DB09026	DB00177
DB00530	DB00642
DB06819	DB01610
DB00958	DB00762
DB12984	DB00072
DB06589	DB01248
DB00002	DB01254
DB00515	DB06263
DB00441	DB11641
DB04879	DB00642
DB00072	DB01248
DB00530	DB00605
DB00480	DB06287
DB11828	DB00072
DB00398	DB06641
DB06641	DB01101
DB06641	DB01248
DB00531	DB00072
DB06641	DB00188
DB00515	DB12202
DB00012	DB00893
DB00441	DB06647
DB00381	DB09026
DB00853	DB06486
DB00313	DB00334
DB01268	DB00877
DB00682	DB06634
DB06634	DB01026
DB00947	DB00112
DB01217	DB00112
DB12191	DB01248
DB00864	DB00563
DB00563	DB11988
DB12191	DB00188
DB05608	DB00642
DB00530	DB00002
DB14126	DB00442
DB13868	DB00709
DB13868	DB00442
DB00322	DB01234
DB03010	DB00635
DB00530	DB00307
DB00877	DB00072
DB06825	DB00675
DB06825	DB01006
DB00631	DB00531
DB00480	DB00851
DB00008	DB01265
DB05015	DB00544
DB00673	DB00377
DB00515	DB08871
DB00020	DB00619
DB01006	DB11126
DB00635	DB06772
DB00398	DB00041
DB05294	DB00642
DB00740	DB01221
DB01261	DB00331
DB01590	DB00091
DB00507	DB00811
DB00305	DB00544
DB00515	DB01590
DB00445	DB01248
DB00688	DB00860
DB01599	DB00177
DB00544	DB01109
DB05575	DB00104
DB00773	DB00073
DB12191	DB00073
DB06599	DB00033
DB00188	DB00112
DB00020	DB00072
DB06701	DB01018
DB00441	DB01030
DB00201	DB00975
DB06149	DB00512
DB00186	DB00652
DB00014	DB00990
DB01041	DB00399
DB00460	DB01270
DB00203	DB00559
DB01109	DB00006
DB01590	DB00642
DB00402	DB00285
DB00734	DB11699
DB00503	DB01232
DB00398	DB00112
DB01259	DB01030
DB00242	DB00068
DB00635	DB04849
DB01101	DB06486
DB00254	DB01045
DB06285	DB00399
DB01248	DB01254
DB00530	DB01101
DB14865	DB00112
DB05294	DB00853
DB01229	DB00997
DB01259	DB00112
DB01229	DB11828
DB00584	DB00177
DB00678	DB00999
DB00381	DB00177
DB01259	DB00441
DB00002	DB01248
DB00877	DB00398
DB06155	DB00331
DB00222	DB00331
DB05294	DB00515
DB00020	DB00499
DB11641	DB01101
DB04573	DB05259
DB00947	DB06486
DB00317	DB00641
DB00530	DB06486
DB01175	DB00659
DB01254	DB01101
DB00087	DB00552
DB00515	DB01101
DB00947	DB04849
DB01151	DB01175
DB01276	DB00030
DB00218	DB01201
DB01006	DB00112
DB00471	DB01222
DB00635	DB08910
DB01044	DB00218
DB00398	DB09327
DB00398	DB01030
DB00635	DB09312
DB00877	DB00112
DB00572	DB01276
DB00642	DB00526
DB01259	DB00072
DB01128	DB01126
DB12242	DB00762
DB01339	DB06206
DB01233	DB01075
DB01216	DB00624
DB08880	DB05259
DB11805	DB04849
DB00073	DB09312
DB01204	DB00020
DB01276	DB01261
DB01248	DB01234
DB00455	DB00043
DB05294	DB01217
DB00399	DB00282
DB00480	DB00531
DB01197	DB00028
DB06287	DB00188
DB00297	DB00281
DB00313	DB01238
DB00997	DB01181
DB00635	DB05812
DB01611	DB00853
DB06094	DB01248
DB06168	DB00563
DB00451	DB00279
DB08880	DB00068
DB04845	DB00072
DB00399	DB01076
DB00068	DB00060
DB01268	DB00112
DB00959	DB00060
DB00060	DB00641
DB00531	DB01248
DB04849	DB00650
DB00810	DB00201
DB01045	DB00238
DB00625	DB01045
DB00313	DB01254
DB00313	DB00480
DB01259	DB00313
DB00313	DB00398
DB01229	DB11805
DB11805	DB00958
DB01268	DB00851
DB06151	DB01390
DB00073	DB14920
DB00515	DB01269
DB14865	DB00034
DB00480	DB14877
DB01273	DB00704
DB01206	DB04849
DB00773	DB00034
DB12369	DB01590
DB01058	DB00518
DB00287	DB00373
DB00515	DB00398
DB00252	DB01320
DB00711	DB00518
DB01156	DB00402
DB00683	DB12427
DB06634	DB00889
DB06634	DB00412
DB00757	DB06634
DB00188	DB00853
DB01259	DB00361
DB00313	DB00773
DB09074	DB01030
DB09074	DB00958
DB01229	DB09074
DB00851	DB09074
DB00958	DB00112
DB00273	DB00191
DB00630	DB06643
DB02772	DB00281
DB00296	DB00297
DB01041	DB09327
DB01590	DB00853
DB15101	DB00441
DB06287	DB01030
DB00022	DB00853
DB00877	DB00041
DB07232	DB00853
DB00544	DB00002
DB00736	DB00788
DB01259	DB00642
DB06292	DB00331
DB08816	DB00945
DB00495	DB00649
DB12513	DB00441
DB00642	DB06486
DB00313	DB00112
DB00362	DB00582
DB06660	DB01175
DB00530	DB00254
DB00291	DB00073
DB00682	DB00476
DB00947	DB01101
DB00398	DB00188
DB00482	DB00531
DB00633	DB00818
DB00441	DB08910
DB00959	DB01248
DB00381	DB00178
DB12556	DB01248
DB00398	DB00853
DB00947	DB01006
DB08885	DB01248
DB06366	DB01248
DB06366	DB00072
DB01001	DB00571
DB00441	DB03312
DB01224	DB00422
DB06819	DB08909
DB01073	DB06193
DB00073	DB00987
DB00727	DB01132
DB00678	DB00722
DB01268	DB00441
DB12589	DB00073
DB00938	DB01409
DB00441	DB00112
DB01233	DB01009
DB00012	DB09146
DB01249	DB06151
DB00295	DB00333
DB08910	DB01234
DB06410	DB06724
DB00105	DB01262
DB05931	DB00762
DB00762	DB01269
DB02546	DB01248
DB00399	DB01254
DB01011	DB00842
DB06603	DB00072
DB04845	DB01101
DB13867	DB00938
DB01611	DB00188
DB01268	DB01101
DB00947	DB01590
DB00921	DB01601
DB12623	DB00654
DB08885	DB00441
DB00631	DB00056
DB00002	DB00526
DB00325	DB00640
DB14865	DB00399
DB00987	DB00227
DB01093	DB00083
DB01274	DB13139
DB01248	DB00227
DB01229	DB00227
DB01098	DB01039
DB06169	DB00530
DB00959	DB00073
DB08875	DB00530
DB00181	DB00186
DB00441	DB01254
DB00061	DB01008
DB00615	DB00207
DB00002	DB14951
DB11689	DB06287
DB11689	DB00530
DB11689	DB00851
DB11689	DB01248
DB11841	DB00530
DB00215	DB00422
DB05304	DB00112
DB06168	DB00331
DB00398	DB00531
DB00531	DB00959
DB14865	DB00398
DB00642	DB01234
DB00398	DB00530
DB06287	DB00112
DB00530	DB01030
DB12191	DB01073
DB00441	DB01269
DB00818	DB01221
DB00008	DB00442
DB01409	DB05039
DB00899	DB00818
DB00296	DB01234
DB00184	DB00898
DB00513	DB06692
DB06817	DB00555
DB09462	DB00316
DB00034	DB00112
DB06589	DB00642
DB06589	DB00530
DB00843	DB00996
DB00476	DB00996
DB00398	DB01248
DB04572	DB00563
DB00741	DB01234
DB00022	DB00398
DB00188	DB00928
DB00334	DB00502
DB00515	DB12984
DB00441	DB01101
DB00515	DB00039
DB00993	DB00635
DB11646	DB00997
DB00252	DB01076
DB00555	DB01076
DB14509	DB00285
DB00105	DB05630
DB00515	DB00188
DB06660	DB00715
DB01128	DB01590
DB00441	DB00997
DB11646	DB01269
DB01098	DB00175
DB01098	DB01076
DB06603	DB01101
DB01259	DB06603
DB01294	DB00987
DB00355	DB00601
DB00338	DB00736
DB01222	DB00277
DB00398	DB01006
DB00635	DB04996
DB00398	DB02546
DB00497	DB00230
DB00230	DB01075
DB08877	DB01234
DB01270	DB00112
DB00264	DB00999
DB00530	DB00916
DB00980	DB01175
DB01229	DB06080
DB00441	DB11740
DB00515	DB11740
DB11740	DB00958
DB13144	DB01261
DB01259	DB00390
DB08885	DB00853
DB05147	DB00958
DB00563	DB00860
DB00515	DB09499
DB00577	DB11998
DB00973	DB00091
DB01098	DB00973
DB00973	DB08860
DB01104	DB00996
DB01307	DB01306
DB01307	DB00331
DB00563	DB00092
DB05294	DB01128
DB01197	DB09026
DB01197	DB01029
DB00642	DB01248
DB01067	DB00331
DB09357	DB01101
DB01204	DB00002
DB01217	DB00783
DB00557	DB00377
DB00441	DB00398
DB12589	DB00188
DB06817	DB04835
DB00898	DB00996
DB00584	DB01261
DB00338	DB00863
DB00020	DB00552
DB00030	DB01306
DB01590	DB00188
DB00480	DB00762
DB00334	DB00331
DB00334	DB00641
DB00530	DB01197
DB00569	DB00682
DB00112	DB00526
DB01400	DB00728
DB00095	DB01270
DB01268	DB00635
DB11841	DB00990
DB00334	DB00904
DB06589	DB00441
DB00834	DB00929
DB01217	DB01006
DB00544	DB00762
DB00736	DB11920
DB00945	DB09030
DB00497	DB00448
DB01128	DB06486
DB00783	DB00007
DB02546	DB02701
DB00399	DB01181
DB01262	DB06603
DB11772	DB00530
DB06287	DB01234
DB11864	DB00502
DB00635	DB00864
DB00361	DB00112
DB01006	DB01254
DB00396	DB09066
DB12181	DB00175
DB01026	DB01248
DB00631	DB09312
DB00734	DB00834
DB06655	DB00331
DB01076	DB12390
DB00361	DB00530
DB00515	DB06192
DB01262	DB00188
DB06287	DB01248
DB01590	DB01030
DB05241	DB00853
DB00002	DB00958
DB05173	DB01248
DB11828	DB00361
DB01005	DB00661
DB09265	DB00331
DB11881	DB00188
DB00877	DB01026
DB06629	DB00683
DB01268	DB06486
DB09074	DB00112
DB06817	DB01601
DB00187	DB04954
DB01262	DB00853
DB12160	DB00563
DB00673	DB00747
DB04845	DB01254
DB00530	DB02703
DB00199	DB00530
DB00563	DB11803
DB00673	DB00531
DB00396	DB00945
DB06589	DB00997
DB00445	DB06589
DB00333	DB14011
DB12191	DB00853
DB00073	DB06317
DB06169	DB01101
DB00295	DB00996
DB00480	DB02546
DB00410	DB00878
DB00678	DB09026
DB06589	DB01030
DB00218	DB01234
DB00678	DB00177
DB06809	DB00099
DB00361	DB00958
DB01229	DB05595
DB06603	DB00530
DB00480	DB01073
DB00973	DB00177
DB00175	DB00177
DB00641	DB00177
DB00642	DB00112
DB11828	DB01101
DB00993	DB00091
DB14009	DB00704
DB06603	DB01042
DB14009	DB01224
DB00615	DB01601
DB06629	DB00642
DB00490	DB00819
DB01262	DB00958
DB01229	DB00928
DB01156	DB01273
DB06656	DB00958
DB00916	DB01137
DB00530	DB06080
DB00947	DB01254
DB00515	DB12459
DB00997	DB00112
DB14027	DB00331
DB00184	DB00273
DB00811	DB05521
DB06769	DB00073
DB12228	DB01050
DB12228	DB00316
DB00196	DB00362
DB00841	DB06213
DB01319	DB04835
DB00242	DB02546
DB06176	DB00188
DB06817	DB01048
DB04845	DB01611
DB00056	DB00928
DB00316	DB00193
DB01624	DB00502
DB01043	DB00843
DB00213	DB01261
DB05931	DB00853
DB06817	DB01072
DB00014	DB00499
DB01167	DB00642
DB06237	DB00199
DB06237	DB01026
DB06237	DB00503
DB00073	DB01234
DB08893	DB01045
DB12200	DB00530
DB00530	DB05241
DB00468	DB00277
DB00297	DB01400
DB00297	DB00813
DB00441	DB11899
DB00341	DB00967
DB01217	DB00675
DB00398	DB06309
DB00468	DB00537
DB01229	DB00398
DB11428	DB00633
DB01611	DB01248
DB00999	DB09026
DB00043	DB01167
DB00242	DB06287
DB01268	DB01590
DB12340	DB00073
DB11972	DB01269
DB12205	DB01269
DB11526	DB00441
DB00930	DB01132
DB00005	DB01137
DB00635	DB01137
DB00586	DB01628
DB00990	DB06616
DB00273	DB00915
DB00262	DB00112
DB00993	DB00860
DB01306	DB00040
DB13868	DB06683
DB00654	DB00287
DB00020	DB00724
DB01009	DB01060
DB01194	DB00484
DB00297	DB01234
DB00961	DB01234
DB06817	DB01319
DB06186	DB12077
DB12442	DB00072
DB12929	DB00852
DB00620	DB00112
DB01234	DB00112
DB01175	DB06554
DB00482	DB01586
DB12105	DB00331
DB00773	DB00072
DB01175	DB00402
DB11811	DB00331
DB00393	DB00674
DB00635	DB00188
DB00997	DB00958
DB00967	DB01062
DB05626	DB00072
DB01590	DB06595
DB01394	DB06168
DB05294	DB00877
DB06607	DB00860
DB01294	DB00642
DB06769	DB08935
DB04845	DB00398
DB00296	DB00961
DB01259	DB00853
DB00530	DB01254
DB11725	DB00682
DB06287	DB00762
DB06626	DB08865
DB00412	DB00641
DB11725	DB00390
DB00503	DB01072
DB01104	DB00331
DB00673	DB01234
DB01225	DB01017
DB00480	DB00441
DB04878	DB01261
DB00333	DB00745
DB00441	DB11662
DB06292	DB00641
DB06292	DB00177
DB00480	DB00091
DB06825	DB00052
DB06292	DB00222
DB06292	DB01261
DB00973	DB01039
DB00515	DB00445
DB00065	DB00788
DB00073	DB06273
DB00072	DB06641
DB06641	DB00675
DB09297	DB00503
DB01098	DB00201
DB00584	DB09026
DB00862	DB04835
DB00313	DB00495
DB00916	DB00254
DB00548	DB00254
DB06366	DB00530
DB00328	DB06372
DB00531	DB00112
DB06203	DB00331
DB11431	DB00683
DB01270	DB01590
DB06603	DB00112
DB06213	DB00640
DB00007	DB01254
DB11828	DB00390
DB06589	DB00218
DB00945	DB01132
DB00877	DB01262
DB01590	DB00990
DB00544	DB00112
DB00218	DB00601
DB01229	DB06589
DB04845	DB00531
DB01101	DB00853
DB01254	DB00853
DB12447	DB09096
DB00361	DB00398
DB05678	DB00331
DB06655	DB00030
DB00988	DB00741
DB00615	DB00921
DB00921	DB01045
DB06603	DB01128
DB01177	DB05015
DB05015	DB00997
DB01006	DB06616
DB01234	DB00996
DB00398	DB01181
DB00056	DB01262
DB08880	DB00060
DB01109	DB01147
DB00959	DB00297
DB00999	DB00519
DB01248	DB14086
DB06287	DB01075
DB00043	DB00668
DB06263	DB00531
DB06603	DB00188
DB00624	DB14583
DB01229	DB12340
DB01166	DB00945
DB01119	DB00331
DB00853	DB06328
DB00734	DB00215
DB00063	DB00009
DB01026	DB00741
DB01454	DB00960
DB00555	DB00715
DB00947	DB11840
DB00631	DB01262
DB06809	DB00188
DB11586	DB09102
DB06292	DB00390
DB00682	DB06292
DB01268	DB00990
DB00818	DB00813
DB00683	DB00813
DB00441	DB12109
DB06603	DB00642
DB06682	DB00695
DB00334	DB00246
DB00471	DB00394
DB00564	DB00555
DB00706	DB01036
DB01229	DB00072
DB06769	DB01042
DB01156	DB01175
DB01248	DB00745
DB02709	DB00188
DB06769	DB00188
DB06287	DB00642
DB00198	DB00558
DB13868	DB00008
DB00242	DB00073
DB04845	DB00112
DB00178	DB09026
DB05294	DB00188
DB00072	DB00002
DB01236	DB00818
DB00615	DB11649
DB00966	DB00999
DB06285	DB06643
DB01076	DB01132
DB01155	DB00207
DB00207	DB00798
DB05773	DB11663
DB00072	DB11663
DB00635	DB00959
DB00887	DB06292
DB00051	DB00563
DB00333	DB05521
DB01229	DB00480
DB01041	DB00860
DB00112	DB00928
DB01229	DB01590
DB00441	DB12242
DB00242	DB00213
DB00530	DB00762
DB00877	DB00002
DB00068	DB01076
DB00853	DB00112
DB01220	DB00994
DB06603	DB00928
DB00683	DB01221
DB11832	DB01248
DB00563	DB11776
DB06769	DB00087
DB00930	DB00331
DB14865	DB00020
DB00448	DB06616
DB01118	DB00264
DB00673	DB00904
DB00877	DB00059
DB00608	DB01087
DB01101	DB06616
DB01394	DB01076
DB08875	DB00853
DB00625	DB13873
DB00709	DB01048
DB01006	DB11663
DB01229	DB11663
DB00008	DB14126
DB00945	DB00852
DB00455	DB00443
DB00105	DB00227
DB08865	DB00530
DB06603	DB01590
DB08907	DB00331
DB15101	DB00762
DB00316	DB11699
DB09119	DB00331
DB01268	DB00480
DB06209	DB00006
DB00082	DB11685
DB06630	DB01076
DB08916	DB00853
DB00530	DB01611
DB06817	DB14126
DB06817	DB00811
DB01394	DB01026
DB01394	DB00207
DB06243	DB00945
DB12530	DB00073
DB01394	DB00277
DB01394	DB00091
DB01394	DB01211
DB01236	DB00728
DB00818	DB00728
DB00480	DB11385
DB09119	DB00641
DB00642	DB11662
DB00673	DB06717
DB00683	DB06717
DB01076	DB09279
DB03496	DB00762
DB00264	DB04861
DB00625	DB08903
DB00563	DB08904
DB00264	DB01105
DB05015	DB00958
DB00530	DB11857
DB14126	DB00641
DB00442	DB00641
DB05294	DB00958
DB05239	DB11663
DB00818	DB00802
DB01129	DB11663
DB00497	DB00673
DB06817	DB00927
DB00338	DB06817
DB01262	DB00307
DB00441	DB06772
DB01045	DB11893
DB12359	DB00990
DB01259	DB00990
DB12340	DB00762
DB12340	DB00530
DB12332	DB00958
DB01590	DB00997
DB01008	DB00188
DB00291	DB08935
DB01229	DB00619
DB04572	DB00262
DB04845	DB06589
DB00584	DB14276
DB06075	DB00762
DB00683	DB00633
DB00482	DB01628
DB00218	DB01075
DB01024	DB00864
DB00470	DB04948
DB01128	DB06287
DB00515	DB12882
DB00482	DB00744
DB12340	DB01026
DB09083	DB00335
DB01611	DB02546
DB06186	DB09035
DB11861	DB00099
DB00480	DB00002
DB15101	DB00398
DB00950	DB12360
DB01024	DB00635
DB00688	DB00635
DB00987	DB04998
DB01026	DB01234
DB00864	DB05521
DB00091	DB05521
DB00526	DB00928
DB09080	DB01409
DB06181	DB00002
DB00843	DB11893
DB01229	DB11772
DB00544	DB11740
DB00712	DB00316
