drug1	drug1_name	drug2	drug2_name	common_disease	common_disease_name
DB00531	cyclophosphamide	DB00987	cytarabine	C0024299	Lymphoma
DB00531	cyclophosphamide	DB00987	cytarabine	C0023473	chronic myeloid leukemia (CML)
DB00531	cyclophosphamide	DB00987	cytarabine	C0023418	Leukemia
DB00553	methoxsalen	DB00307	bexarotene	C0079773	cutaneous T-cell lymphoma (CTCL)
DB00480	lenalidomide	DB01234	dexamethasone	C0026764	multiple myeloma
DB00480	lenalidomide	DB01234	dexamethasone	C0002871	anemia
DB00951	Isoniazid	DB01201	rifapentine	C0041296	tuberculosis
DB01045	rifampin	DB00951	Isoniazid	C0041296	tuberculosis
DB04845	ixabepilone	DB00515	cisplatin	C0024305	non-Hodgkin lymphoma (NHL)
DB00945	aspirin	DB00758	clopidogrel	C0027051	Myocardial Infarction
DB00945	aspirin	DB00758	clopidogrel	C0040053	thrombosis
DB01229	paclitaxel	DB00982	isotretinoin	C0020538	Hypertensive disease
DB00441	gemcitabine	DB00642	pemetrexed	C0007131	Non-Small Cell Lung Carcinoma
DB00322	floxuridine	DB00762	irinotecan	C0038356	Stomach Neoplasms
DB00322	floxuridine	DB00762	irinotecan	C1527249	colorectal cancer
DB00254	doxycycline	DB01060	amoxicillin	C0037199	sinusitis
DB01073	fludarabine	DB00087	Alemtuzumab	C0023434	chronic lymphocytic leukemia (CLL)
DB00073	Rituximab	DB00087	Alemtuzumab	C0023434	chronic lymphocytic leukemia (CLL)
DB00073	Rituximab	DB00563	methotrexate	C0024305	non-Hodgkin lymphoma (NHL)
DB00073	Rituximab	DB00563	methotrexate	C0003873	rheumatoid arthritis
DB00947	fulvestrant	DB01217	anastrozole	C1458155	Mammary Neoplasms
DB00412	Rosiglitazone	DB00331	metformin	C0020456	hyperglycemia
DB00412	Rosiglitazone	DB00331	metformin	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB01041	Thalidomide	DB00188	bortezomib	C0026764	multiple myeloma
DB00694	daunorubicin	DB00987	cytarabine	C0023487	acute promyelocytic leukemia (APL)
DB00694	daunorubicin	DB00987	cytarabine	C0023467	Leukemia, Myelocytic, Acute
DB00694	daunorubicin	DB00987	cytarabine	C0023449	Acute Lymphocytic Leukemia
DB00515	cisplatin	DB00441	gemcitabine	C1140680	Malignant Neoplasm Of Ovary
DB01033	mercaptopurine	DB00563	methotrexate	C0024305	non-Hodgkin lymphoma (NHL)
DB01033	mercaptopurine	DB00563	methotrexate	C0023449	Acute Lymphocytic Leukemia
DB00016	Erythropoietin	DB00012	Darbepoetin alfa	C0002871	anemia
DB00361	vinorelbine	DB01101	capecitabine	C1458155	Mammary Neoplasms
DB01276	exenatide	DB00331	metformin	C0020456	hyperglycemia
DB01276	exenatide	DB00331	metformin	C0011849	diabetes mellitus
DB04876	vildagliptin	DB01132	pioglitazone	C0020456	hyperglycemia
DB04876	vildagliptin	DB01132	pioglitazone	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB04876	vildagliptin	DB01132	pioglitazone	C0011849	diabetes mellitus
DB04876	vildagliptin	DB00222	glimepiride	C0020456	hyperglycemia
DB04876	vildagliptin	DB00222	glimepiride	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB04876	vildagliptin	DB00222	glimepiride	C0011849	diabetes mellitus
DB01229	paclitaxel	DB00441	gemcitabine	C1140680	Malignant Neoplasm Of Ovary
DB01229	paclitaxel	DB00441	gemcitabine	C0007131	Non-Small Cell Lung Carcinoma
DB01120	gliclazide	DB00331	metformin	C0020456	hyperglycemia
DB01120	gliclazide	DB00331	metformin	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB01120	gliclazide	DB00331	metformin	C0011849	diabetes mellitus
DB04876	vildagliptin	DB00331	metformin	C0020456	hyperglycemia
DB04876	vildagliptin	DB00331	metformin	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB04876	vildagliptin	DB00331	metformin	C0011849	diabetes mellitus
DB00188	bortezomib	DB00997	doxorubicin	C0026764	multiple myeloma
DB06273	Tocilizumab	DB00563	methotrexate	C0003873	rheumatoid arthritis
DB00531	cyclophosphamide	DB01101	capecitabine	C1458155	Mammary Neoplasms
DB01132	pioglitazone	DB00331	metformin	C0020456	hyperglycemia
DB01132	pioglitazone	DB00331	metformin	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB01132	pioglitazone	DB00331	metformin	C0011849	diabetes mellitus
DB00746	deferoxamine-mesylate	DB01609	deferasirox	C0282193	iron overload
DB00544	5-fluorouracil	DB01248	docetaxel	C0030297	Pancreatic Neoplasm
DB00544	5-fluorouracil	DB01248	docetaxel	C0278996	Cancer Of Head And Neck
DB00544	5-fluorouracil	DB01248	docetaxel	C0678222	Breast Carcinoma
DB00544	5-fluorouracil	DB01248	docetaxel	C0018671	Head And Neck Neoplasms
DB00544	5-fluorouracil	DB01248	docetaxel	C0038356	Stomach Neoplasms
DB00544	5-fluorouracil	DB01248	docetaxel	C1458155	Mammary Neoplasms
DB00746	deferoxamine-mesylate	DB08826	deferiprone	C0282193	iron overload
DB00073	Rituximab	DB01073	fludarabine	C0024305	non-Hodgkin lymphoma (NHL)
DB00073	Rituximab	DB01073	fludarabine	C0023434	chronic lymphocytic leukemia (CLL)
DB01104	sertraline	DB01068	clonazepam	C0030319	panic disorders
DB00912	repaglinide	DB00331	metformin	C0020456	hyperglycemia
DB00912	repaglinide	DB00331	metformin	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB00912	repaglinide	DB00331	metformin	C0011849	diabetes mellitus
DB00635	prednisone	DB01281	Abatacept	C0003873	rheumatoid arthritis
DB06335	saxagliptin	DB00331	metformin	C0020456	hyperglycemia
DB06335	saxagliptin	DB00331	metformin	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB06335	saxagliptin	DB00331	metformin	C0011849	diabetes mellitus
DB00973	ezetimibe	DB00641	simvastatin	C0020443	hypercholesterolemia
DB00973	ezetimibe	DB00641	simvastatin	C0020474	Hyperlipidemia, Familial Combined
DB00973	ezetimibe	DB00641	simvastatin	C0020473	hyperlipidemia
DB00973	ezetimibe	DB00641	simvastatin	C0342881	Familial hypercholesterolemia - homozygous
DB02546	vorinostat	DB00307	bexarotene	C0079773	cutaneous T-cell lymphoma (CTCL)
DB00361	vinorelbine	DB00441	gemcitabine	C0007131	Non-Small Cell Lung Carcinoma
DB01156	bupropion	DB00704	naltrexone	C0028754	obesity
DB00590	doxazosin	DB00177	valsartan	C0020538	Hypertensive disease
DB00531	cyclophosphamide	DB00997	doxorubicin	C0023467	Leukemia, Myelocytic, Acute
DB00531	cyclophosphamide	DB00997	doxorubicin	C0006413	Burkitt's lymphoma
DB00531	cyclophosphamide	DB00997	doxorubicin	C0026764	multiple myeloma
DB00531	cyclophosphamide	DB00997	doxorubicin	C0023449	Acute Lymphocytic Leukemia
DB00531	cyclophosphamide	DB00997	doxorubicin	C0019829	Hodgkin's lymphoma
DB00531	cyclophosphamide	DB00997	doxorubicin	C0027819	neuroblastoma
DB00531	cyclophosphamide	DB00997	doxorubicin	C0678222	Breast Carcinoma
DB00531	cyclophosphamide	DB00997	doxorubicin	C1458155	Mammary Neoplasms
DB00531	cyclophosphamide	DB00997	doxorubicin	C0919267	Ovarian Neoplasm
DB01006	letrozole	DB00072	trastuzumab	C1458155	Mammary Neoplasms
DB01276	exenatide	DB00412	Rosiglitazone	C0020456	hyperglycemia
DB01041	Thalidomide	DB00073	Rituximab	C0003873	rheumatoid arthritis
DB00704	naltrexone	DB00822	disulfiram	C0001973	Alcoholic Intoxication, Chronic
DB00361	vinorelbine	DB00072	trastuzumab	C1458155	Mammary Neoplasms
DB00072	trastuzumab	DB01101	capecitabine	C1458155	Mammary Neoplasms
DB08889	carfilzomib	DB01234	dexamethasone	C0026764	multiple myeloma
DB00678	losartan	DB00695	furosemide	C0020538	Hypertensive disease
DB00678	losartan	DB00695	furosemide	C0018802	congestive heart failure
DB00480	lenalidomide	DB00188	bortezomib	C0026764	multiple myeloma
DB00480	lenalidomide	DB00188	bortezomib	C0334634	Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse
DB00248	cabergoline	DB01235	levodopa	C0242422	Parkinsonian Disorders
DB00248	cabergoline	DB01235	levodopa	C0013384	Dyskinetic Syndrome
DB00248	cabergoline	DB01235	levodopa	C0030567	Parkinson's Disease
DB01005	hydroxyurea	DB00619	imatinib	C0023473	chronic myeloid leukemia (CML)
DB01005	hydroxyurea	DB00619	imatinib	C1540912	hypereosinophilic syndrome (HES)
DB08873	boceprevir	DB00811	ribavirin	C0524910	Hepatitis C, Chronic
DB01076	atorvastatin	DB00641	simvastatin	C0020479	Hyperlipoproteinemia Type Iii
DB01076	atorvastatin	DB00641	simvastatin	C0027051	Myocardial Infarction
DB01076	atorvastatin	DB00641	simvastatin	C0020474	Hyperlipidemia, Familial Combined
DB01076	atorvastatin	DB00641	simvastatin	C0342881	Familial hypercholesterolemia - homozygous
DB01076	atorvastatin	DB00641	simvastatin	C0020443	hypercholesterolemia
DB01076	atorvastatin	DB00641	simvastatin	C0020473	hyperlipidemia
DB01076	atorvastatin	DB00641	simvastatin	C0003850	arteriosclerosis
DB01076	atorvastatin	DB00641	simvastatin	C0020557	hypertriglyceridemia
DB01076	atorvastatin	DB00641	simvastatin	C0020476	Hyperlipoproteinemias
DB01076	atorvastatin	DB00641	simvastatin	C0038454	stroke
DB00999	hydrochlorothiazide	DB00177	valsartan	C0020538	Hypertensive disease
DB00999	hydrochlorothiazide	DB00177	valsartan	C0018802	congestive heart failure
DB00381	amlodipine	DB00999	hydrochlorothiazide	C0020538	Hypertensive disease
DB01006	letrozole	DB00675	tamoxifen	C0006142	Malignant Neoplasm Of Breast
DB01006	letrozole	DB00675	tamoxifen	C1458155	Mammary Neoplasms
DB00997	doxorubicin	DB01234	dexamethasone	C0024305	non-Hodgkin lymphoma (NHL)
DB00997	doxorubicin	DB01234	dexamethasone	C0006413	Burkitt's lymphoma
DB00997	doxorubicin	DB01234	dexamethasone	C0026764	multiple myeloma
DB00997	doxorubicin	DB01234	dexamethasone	C0023449	Acute Lymphocytic Leukemia
DB00997	doxorubicin	DB01234	dexamethasone	C0079744	Diffuse Large B-Cell Lymphoma
DB00997	doxorubicin	DB01234	dexamethasone	C0024301	follicular lymphoma
DB00997	doxorubicin	DB01234	dexamethasone	C0019829	Hodgkin's lymphoma
DB00289	atomoxetine	DB00422	methylphenidate	C1263846	attention-deficit/hyperactivity disorder (ADHD)
DB00999	hydrochlorothiazide	DB00335	atenolol-(+/-)	C0020538	Hypertensive disease
DB00999	hydrochlorothiazide	DB00335	atenolol-(+/-)	C0018802	congestive heart failure
DB01357	mestranol	DB00603	medroxyprogesterone acetate	C0014175	endometriosis
DB00441	gemcitabine	DB01248	docetaxel	C0007131	Non-Small Cell Lung Carcinoma
DB00642	pemetrexed	DB00762	irinotecan	C0007131	Non-Small Cell Lung Carcinoma
DB00441	gemcitabine	DB00762	irinotecan	C0007131	Non-Small Cell Lung Carcinoma
DB00005	Etanercept	DB00563	methotrexate	C0003873	rheumatoid arthritis
DB01234	dexamethasone	DB00987	cytarabine	C0024305	non-Hodgkin lymphoma (NHL)
DB01234	dexamethasone	DB00987	cytarabine	C0023449	Acute Lymphocytic Leukemia
DB00005	Etanercept	DB00073	Rituximab	C0003873	rheumatoid arthritis
DB00947	fulvestrant	DB00990	exemestane	C1458155	Mammary Neoplasms
DB00065	Infliximab	DB00563	methotrexate	C0003873	rheumatoid arthritis
DB00563	methotrexate	DB06674	golimumab	C0003873	rheumatoid arthritis
DB00588	fluticasone propionate	DB00938	salmeterol	C0004096	asthma
DB00588	fluticasone propionate	DB00938	salmeterol	C0034067	Pulmonary Emphysema
DB01576	dextroamphetamine	DB00745	modafinil	C0027404	narcolepsy
DB00007	leuprolide	DB01248	docetaxel	C0376358	Malignant Neoplasm Of Prostate
DB00007	leuprolide	DB01248	docetaxel	C1458155	Mammary Neoplasms
DB00007	leuprolide	DB01248	docetaxel	C0919267	Ovarian Neoplasm
DB00480	lenalidomide	DB00635	prednisone	C0002871	anemia
DB00515	cisplatin	DB01181	ifosfamide	C0024305	non-Hodgkin lymphoma (NHL)
DB00515	cisplatin	DB01181	ifosfamide	C1140680	Malignant Neoplasm Of Ovary
DB00515	cisplatin	DB01181	ifosfamide	C1336708	Testicular Germ Cell Tumor
DB00515	cisplatin	DB01181	ifosfamide	C0029463	osteosarcoma
DB00515	cisplatin	DB01181	ifosfamide	C0019829	Hodgkin's lymphoma
DB00515	cisplatin	DB01181	ifosfamide	C0005684	Malignant Neoplasm Of Urinary Bladder
DB00515	cisplatin	DB01181	ifosfamide	C0038356	Stomach Neoplasms
DB00515	cisplatin	DB01181	ifosfamide	C0039590	Testicular Neoplasms
DB00515	cisplatin	DB01181	ifosfamide	C1458155	Mammary Neoplasms
DB00515	cisplatin	DB01181	ifosfamide	C0919267	Ovarian Neoplasm
DB00030	insulin human	DB00331	metformin	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB00030	insulin human	DB00331	metformin	C0011849	diabetes mellitus
DB01128	bicalutamide	DB00007	leuprolide	C0033578	Prostatic Neoplasms
DB01128	bicalutamide	DB00007	leuprolide	C0376358	Malignant Neoplasm Of Prostate
DB00254	doxycycline	DB01017	minocycline	C0037199	sinusitis
DB00254	doxycycline	DB01017	minocycline	C0031099	periodontitis
DB00441	gemcitabine	DB00544	5-fluorouracil	C0281361	Adenocarcinoma Pancreas
DB00572	atropine	DB00571	propranolol	C0003811	Cardiac Arrhythmia
DB00851	dacarbazine	DB00853	temozolomide	C0025202	melanoma
DB00916	metronidazole	DB00537	ciprofloxacin	C0149725	Lower respiratory tract infection
DB00916	metronidazole	DB00537	ciprofloxacin	C2242472	Infection of bone
DB01229	paclitaxel	DB01101	capecitabine	C1458155	Mammary Neoplasms
DB00316	paracetamol	DB01050	ibuprofen	C0149931	Migraine Disorders
DB00316	paracetamol	DB01050	ibuprofen	C0030193	Pain
DB00316	paracetamol	DB01050	ibuprofen	C0013390	Dysmenorrhea
DB00316	paracetamol	DB01050	ibuprofen	C0015967	fever
DB00973	ezetimibe	DB01076	atorvastatin	C0020443	hypercholesterolemia
DB00973	ezetimibe	DB01076	atorvastatin	C0020474	Hyperlipidemia, Familial Combined
DB00973	ezetimibe	DB01076	atorvastatin	C0020473	hyperlipidemia
DB00973	ezetimibe	DB01076	atorvastatin	C0342881	Familial hypercholesterolemia - homozygous
